audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
d_22b_seg7.wav,1589.73,7,item_44d,0.0,1.0,1,dim,,
d_22b_seg8.wav,2982.79,8,item_44d,0.0,1.0,1,dim,,
d_23a_seg1.wav,5993.11,1,item_45d,0.0,1.0,1,dim,,
d_23a_seg2.wav,966.3,2,item_45d,0.0,1.0,1,dim,,
d_23a_seg3.wav,804.44,3,item_45d,0.0,1.0,1,dim,,
d_23a_seg4.wav,1147.78,4,item_45d,0.0,1.0,1,dim,,
d_23a_seg5.wav,828.96,5,item_45d,0.0,1.0,1,dim,,
d_23a_seg6.wav,936.85,6,item_45d,0.0,1.0,1,dim,,
d_23a_seg7.wav,1236.08,7,item_45d,0.0,1.0,1,dim,,
d_23a_seg8.wav,2984.24,8,item_45d,0.0,1.0,1,dim,,
d_24b_seg1.wav,5911.25,1,item_48d,1.0,0.0,1,dim,,
d_24b_seg2.wav,983.38,2,item_48d,1.0,0.0,1,dim,,
d_24b_seg3.wav,620.39,3,item_48d,1.0,0.0,1,dim,,
d_24b_seg4.wav,1110.52,4,item_48d,1.0,0.0,1,dim,,
d_24b_seg5.wav,632.81,5,item_48d,1.0,0.0,1,dim,,
d_24b_seg6.wav,769.3,6,item_48d,1.0,0.0,1,dim,,
d_24b_seg7.wav,1259.41,7,item_48d,1.0,0.0,1,dim,,
d_24b_seg8.wav,3152.52,8,item_48d,1.0,0.0,1,dim,,
p_1a_seg1.wav,4823.06,1,item_1p,,,1,plu,1.0,0.0
p_1a_seg2.wav,1086.15,2,item_1p,,,1,plu,1.0,0.0
p_1a_seg3.wav,976.26,3,item_1p,,,1,plu,1.0,0.0
p_1a_seg4.wav,1344.76,4,item_1p,,,1,plu,1.0,0.0
p_1a_seg5.wav,989.18,5,item_1p,,,1,plu,1.0,0.0
p_1a_seg6.wav,1370.63,6,item_1p,,,1,plu,1.0,0.0
p_1a_seg7.wav,1913.7,7,item_1p,,,1,plu,1.0,0.0
p_1a_seg8.wav,1690.52,8,item_1p,,,1,plu,1.0,0.0
p_2b_seg1.wav,5253.29,1,item_4p,,,1,plu,0.0,1.0
p_2b_seg2.wav,1236.69,2,item_4p,,,1,plu,0.0,1.0
p_2b_seg3.wav,961.86,3,item_4p,,,1,plu,0.0,1.0
p_2b_seg4.wav,1518.39,4,item_4p,,,1,plu,0.0,1.0
p_2b_seg5.wav,1030.59,5,item_4p,,,1,plu,0.0,1.0
p_2b_seg6.wav,1490.91,6,item_4p,,,1,plu,0.0,1.0
